Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Refugees,Asylum-seekers,IDPs,Other people in need of international protection,Stateless persons,Host community,Others of concern
2015 - 2017,Slovenia, ,SVN,,STA,The figure is based on an NGO analysis of government registry data and may not represent the full magnitude of statelessness in Slovenia.,,,,,,,
2024,Kyrgyzstan, ,KGZ,,STA,59 persons were naturalized or granted citizenship in 2023. Since December 2021 the data on number of staleless persons is provided by the Government.,,,,,,,
2015 - 2023,Costa Rica, ,CRI,,STA,Figure refers to a population of undetermined nationality.,,,,,,,
2019 - 2020,Myanmar, ,MMR,,IDP,"The figures include an estimated 141,000 stateless IDPs who are also of concern under the statelessness mandate.",,,,,,,
2024,Rep. of Moldova, ,MDA,,STA,"With regards to stateless statistics, the figure includes persons determined to be stateless following the statelessness determination procedure and persons with undetermined nationality who hold expired Soviet passports.",,,,,,,
2023,Turkmenistan, ,TKM,,REF,"Based on reports from international organizations, UNHCR estimates that there are approximately 3,600 Afghan nationals residing in Turkmenistan who are likely in need of international protection",,,,,,,
2017,Dominican Rep., ,DOM,,STA,"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents. According to information released by the authorities, 20,872 individuals had been issued their Dominican civil documents by the end of 2017.",,,,,,,
2024,Australia, ,AUS,,"REF,ASY,IDP,STA,OOC,HST,OIP",All figures are as of mid-2024 apart from statistics on resettlement arrivals and asylum-seekers.,,,,,,,
2015 - 2016,Nigeria,Nigeria,NGA,NGA,IDP,Nigerian returnees from Cameroon are now in IDP-like situations.,,,,,,,
2019,Iraq, ,IRQ,,STA,"Pending a more accurate study into statelessness in Iraq, the estimated reduction of stateless persons in Iraq has been adjusted to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless persons to apply for nationality in certain circumstances. The total reduction of 262 (from 47,515 to 47,253) comes from estimates based on various sources.",,,,,,,
2024,Norway, ,NOR,,REF,"With regards to refugee statistics, since 2024 the number of refugees is Norway are based on data reported by authorities of persons with valid residence permits for asylum as of 1 January 2024 and increases (e.g. recognitions) or decreases (e.g. refugee status cessation and naturalisations) through the year as reported by authorities. Figures for temporary protection holders in Norway are based on data by Eurostat. The figures replace previous refugee stock estimations conducted by UNHCR.",,,,,,,
2020 - 2023,Israel, ,ISR,,STA,This figure does not include potentially stateless Bedouin or former USSR citizens who may be stateless.,,,,,,,
2016,South Africa, ,ZAF,,ASY,"An adjustment to 2016 end of year figures, in particular for the number of asylum applications pending on appeal and review, has resulted in a substantially lower figure for numbers of asylum-seekers reported in South Africa.",,,,,,,
2024,Philippines, ,PHL,,STA,"The total statelessness figure reported includes 10 stateless persons of Rohingya ethnicity who are also counted as refugee or asylum-seeker from Myanmar, mainly from Rakhine State.",,,,,,,
2020,Saudi Arabia, ,SAU,,ASY,"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 6,100 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",,,,,,,
2023,Australia, ,AUS,,REF,"The number of refugees in Australia has been revised using updated data on the number of residence permit holders with refugee status by the end of 2023, as received from the government.",,,,,,,
2023 - 2025,Armenia, ,ARM,,REF,"In the South Caucasus region, 141,900 refugees fled to Armenia with most of them arriving after renewed armed conflict in Karabakh in September 2023.",,,,,,,
2015,Sri Lanka, ,LKA,,IDP,"The statistics of the remaining IDPs at the end of the year, while provided by the Government authorities at the district level, are being reviewed by the central authorities. Once this review has been concluded, the statistics will be changed accordingly.",,,,,,,
2025,Montenegro, ,MNE,,REF,"Estimates of the number of Ukrainians in a refugee-like situation in Montenegro are based on entry and exit data to estimate the number of Ukrainians in Montenegro, who did not apply for/acquired TP status, but who arrived to Montenegro after February 2022.",,,,,,,
2015,Jordan,Iraq,JOR,IRQ,REF,"Figure at the end of 2015 refers to 33,200 Iraqi refugees registered with UNHCR. The Government estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2015 - 2018,Türkiye,Syrian Arab Rep.,TUR,SYR,REF,Refugee figure for Syrians in Turkey was a Government estimate.,,,,,,,
2016,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 176 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 242,560 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",,,,,,,
2015,Haiti, ,HTI,,STA,Figure refers to individuals without a nationality who were born in the Dominican Republic prior to January 2010 and who were identified by UNHCR in Haiti during the reporting period.,,,,,,,
2020,Kyrgyzstan, ,KGZ,,STA,All 18 persons were in the final stages of naturalization or citizenship confirmation formalities.,,,,,,,
2015 - 2023,Cabo Verde, ,CPV,,STA,Figure from the 2010 census.,,,,,,,
2017,Myanmar, ,MMR,,STA,"The figure of persons of concern under the statelessness mandate relates to stateless persons in Rakhine state and persons of undetermined nationality residing in other states in Myanmar.The figure of stateless persons in Rakhine state has been estimated on the basis of the 2014 census report and 2017 General Administration Department (GAD) of Ministry of Home Affairs (MoHA) data. It does not include an estimated 125,575 stateless IDPs who are also of concern under the statelessness mandate because they are already included within the IDP figures. In Rakhine State, the  total number of stateless persons were estimated to be approximately one million in 2014 according to the Government census reporr.Revisions have been made to take into account the number of stateless persons who fled to Bangladesh during 2017. The number of remaining stateless persons residing in Maungdaw area as of end of December 2017 is highly uncertain as no reliable comprehensive data is available and access has been severely constrained.Outside of Rakhine state, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, and whose citizenship has not yet been confirmed.",,,,,,,
2018,South Africa, ,ZAF,,"REF,ASY,IDP,STA,OOC,HST,OIP",All figures related to mid-2018.,,,,,,,
2022 - 2025,Belgium, ,BEL,,STA,Stateless persons reported by UNHCR correspond to recognized stateless persons who have been granted a residence permit in Belgium and who are therefore registered in the national register. It should be noted that recognized stateless persons who have not been granted a residence permit are not taken into account in figures provided by the Belgian Government.,,,,,,,
2025,Indonesia, ,IDN,,STA,"The total statelessness figure reported relates to 2,566 stateless persons who are also counted as refugees or asylum-seekers. There are indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.",,,,,,,
2023,Kenya, ,KEN,,STA,"The figure is based on an estimate of 18,500 in 2019 by UNHCR with input from stateless communities of whom 1,670 stateless persons of Shona descent were granted Kenyan citizenship in 2020. In 2022 approximately 7,000 individuals from the Pemba community had their nationality confirmed.",,,,,,,
2021,Slovakia, ,SVK,,STA,The figure is based on the 2021 census.  See: https://www.scitanie.sk/obyvatelia/zakladne-vysledky/struktura-obyvatelstva-podla-statnej-prislusnosti/SR/SK0/SR.,,,,,,,
2023,Egypt,Sudan,EGY,SDN,ASY,"As of 31 December 2023, 152,800 Sudanese were registered by UNHCR in Egypt as asylum-seekers. Of this number, 125,600 were new arrivals who had fled the recent conflict, with an additional 222,000 pending registration with UNHCR by year-end. The Government of Egypt reported 370,000 Sudanese people having arrived in the country since the onset of the crisis. See also the Sudan Situation on the Operational Data Portal.",,,,,,,
2025,Colombia, ,COL,,IDP,"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.7 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (7.1 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 7.1 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/.",,,,,,,
2021 - 2022,Greece, ,GRC,,STA,In situ figure based on the 2011 census. Census figures were adjusted to include people registered as stateless by the Ministry of Interior from 2012 to 2021.,,,,,,,
2021,Montenegro, ,MNE,,STA,"In November 2017, jointly with the MoI and the MLSW, UNHCR carried out a field verification of all ex-Yugoslav refugees with unresolved status issues, including those at potential risk of statelessness. The field exercise covered 2,318 individuals (including 42 per cent children) in 20 out of 23 municipalities. Based on the verification results, UNHCR reported on at least 145 persons at risk of statelessness and 460 in a statelessness like situation.  During 2021 their number increased to 502 as 87 persons were identified as at risk of statelessness and, through a formal statelessness determination procedure introduced in 2018, 4 more persons were recognized as stateless by the Ministry of Interior of Montenegro.  Some 61 persons acquired nationality during the year.",,,,,,,
2021,Costa Rica, ,CRI,,ASY,"The number of asylum applications includes 38,278 asylum applications not yet formalized, i.e. individuals with an appointment to complete the application procedure, as well as 11,066 applicants whose cases have been processed but have yet to receive notification of the decision on their asylum applications. The latter relate primarily to cases received prior to 2020. Until end-2020 these were reported under others of concern and have since been re-classified as asylum applications since the 2021 mid-year statistical report.",,,,,,,
2023,Croatia, ,HRV,,STA,"Start-year figure comes from the 2022 census, with changes during the year reflecting updated reporting by the Ministry of the Interior.",,,,,,,
2025,Azerbaijan, ,AZE,,STA,"Since 2023, the number of stateless persons in Azerbaijan is based on government (State Migration Service and the Ministry of Internal Affairs) and UNHCR registers.",,,,,,,
2018, ,Venezuela (Bolivarian Republic of),,VEN,"REF,ASY,IDP,STA,OOC,HST,OIP","Venezuelans displaced abroad refers to persons who have left Venezuela as a result of the deteriorating circumstances inside the country, but who have not applied for asylum in the country in which they are present. As indicated in the Guidance Note on International Protection Considerations for Venezuelans (May 2019), UNHCR considers that the majority of Venezuelan nationals or stateless persons who were habitually resident in Venezuela, are in need of international protection under the criteria contained in the Cartagena Declaration on the basis of threats to their lives, security or freedom resulting from events that are seriously disturbing public order in Venezuela. In line with the Secretary General’s Guidance, UNHCR and IOM have been coordinating closely to respond to the outflow of Venezuelans.",,,,,,,
2022,Slovakia, ,SVK,,STA,The figure is based on the 2021 census.  See: https://www.scitanie.sk/obyvatelia/zakladne-vysledky/struktura-obyvatelstva-podla-statnej-prislusnosti/SR/SK0/SR,,,,,,,
"2020 - 2022, 2024 - 2025",Canada, ,CAN,,ASY,"The statistics on asylum-seekers (new applications, re-opened/repeat applications and/or appeal application) and refugees individually recognized in Canada include persons who had their claim assessed before the Refugee Protection Division and the Refugee Appeal Division of the Immigration Refugee Board as well as by the Department of Immigration, Refugees and Citizenship Canada through a Pre-Removal Risk Assessment.",,,,,,,
2025,Japan, ,JPN,,"REF,ASY",Figures are UNHCR estimates as of end-24.,,,,,,,
2016, ,Iraq,,IRQ,REF,"Refugee figure for Iraqis in the Syrian Arab Republic is a Government estimate. UNHCR is assisting 16,900 Iraqis at the end of 2015. Figure includes 33,100 Iraqi refugees registered with UNHCR in Jordan. The Government estimates the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2023,Canada, ,CAN,,ASY,"The statistics on asylum-seekers (new applications, re-opened/repeat applications and/or appeal application) in Canada include persons who had their claim assessed before the Refugee Protection Division and the Refugee Appeal Division of the Immigration Refugee Board as well as by the Department of Immigration, Refugees and Citizenship Canada through a Pre-Removal Risk Assessment.",,,,,,,
2019 - 2020, ,Ukraine,,UKR,IDP,The IDP figure has been aligned to the inter-agency methodology as defined in the 2020 Humanitarian Needs Overview. Figure of others of concern relates to persons who have specific protection needs and live in non-government-controlled areas or within 20 km of the contact line in government-controlled areas.,,,,,,,
2015,Myanmar,Myanmar,MMR,MMR,IDP,"The figure of stateless persons refers to persons without citizenship in Rakhine State only and does not include an estimated 170,000 IDPs and persons in an IDP-like situation who are included under the IDP population but who are not considered nationals. The total stateless population in Rakhine State is estimated to be approximately one million.",,,,,,,
2015,Papua New Guinea, ,PNG,,REF,Refugee figure relate to the end of 2014.,,,,,,,
2015,Dominican Rep., ,DOM,,STA,"This revised estimate of 133,770 stateless persons includes only individuals born in the country to parents who were both born abroad, It does not include individuals born in the country to one foreign-born and one Dominican-born parent, as per the previously reported figure of 210,000. This estimate does not include subsequent generations of individuals of foreign descent, as there is no reliable population data available on groups other than first-generation individuals. As such, this estimate does not include all persons without nationality in the country. It will be adjusted as official data becomes available on the number of individuals who have found an effective nationality solution.",,,,,,,
2025,Rep. of Moldova, ,MDA,,STA,"With regards to stateless statistics, the figure includes persons determined to be stateless following the statelessness determination procedure and persons with undetermined nationality who hold expired Soviet passports. Increase in figures compared to end-2024 is due to updated data received from national authorities.",,,,,,,
2020 - 2021,Dominican Rep., ,DOM,,STA,"UNHCR is currently working with the authorities and other actors to determine the size of the population affected by ruling 168-13 that found an effective nationality solution. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High-Level Segment on Statelessness, approximately 48 per cent of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2020, over 1,830 Group B persons (800 of which were children) – out of the 7,159 approved individuals who had applied to the regularization plan established in Law 169-14 - had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). Up until December 2020, one naturalization decree had been issued granting Dominican nationality to 749 applicants, all of whom are still pending to receive nationality documentation.",,,,,,,
2025,Costa Rica, ,CRI,,REF,Refugees includes people in a refugee-like situation,,,,,,,
2020,Australia, ,AUS,,STA,"Stateless figures in Australia are sourced from the Government. They consist of figures on stateless persons held in detention and those that have been issued or are in an application process for an “Onshore Humanitarian Visa” and have self-reported to be stateless. Australia does not have a separate statelessness status determination procedure and only provides statistics on humanitarian visas. Due to this, the figure reported here does not capture all stateless persons in Australia and is not an estimate of statelessness in Australia. Figures for stateless persons in detention come from the Australian Government Department of Home Affairs and Australian Border Force report on Immigration Detention and Community Statistics Summary 31 December 2020.",,,,,,,
2017, ,Iraq,,IRQ,REF,"Refugee figure for Iraqis in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 16,300 Iraqis at the end of 2017. The refugee population in Jordan includes 34,000 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2020 - 2022,Tajikistan, ,TJK,,STA,Figure based on a registration exercise in three regions and 842 people registered as stateless by the Ministry of Internal Affairs of Tajikistan.,,,,,,,
2015 - 2019,Israel, ,ISR,,STA,The figure does not include potentially stateless Bedouin nor all stateless former USSR citizens.,,,,,,,
2019 - 2023,Slovenia, ,SVN,,STA,The figure is an estimate based on previous NGO analysis of government data and may not represent the full magnitude of statelessness in Slovenia.,,,,,,,
2017,Myanmar,Myanmar,MMR,MMR,IDP,"The figures include an estimated 125,575 stateless IDPs, people in IDP-like situation who are also of concern under the statelessness mandate.",,,,,,,
2018,Iraq, ,IRQ,,STA,"Pending a more accurate study into stateless in Iraq, the estimated reduction of stateless persons in Iraq has been adjusted to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless persons to apply for nationality in certain circumstances. The total reduction of 115 (from 47,630 to 47,515) comes from estimates based on various sources.",,,,,,,
2019,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"The UK’s statelessness figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave which resulted in unavoidable double counting for stateless individuals who were subsequently granted stateless leave after reapplying. The UK Government has now provided data for initial and subsequent grants and subsequent grants have been removed from the previous cumulative figure. As a result the number of individuals granted stateless leave from an initial application between 2013-2018 has been revised down to 109 from 125. In 2019, there were a further 52 initial grants of stateless leave bringing the cumulative total to 161 individuals recognised through the UK's statelessness determination procedure since it began in 2013.",,,,,,,
2015, ,Iraq,,IRQ,REF,"Refugee figure for Iraqis in the Syrian Arab Republic is a Government estimate. UNHCR is assisting 18,300 Iraqis at the end of 2015. Figure includes 33,200 Iraqi refugees registered with UNHCR in Jordan. The Government estimates the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",,,,,,,
2025,Ukraine, ,UKR,,STA,"The reported statelessness figures for mid-2025 are based on the available and up-to-date data sources. The actual scale of statelessness is, however, undetermined and likely higher owing to the ongoing war, temporary occupation and large-scale forced displacement.",,,,,,,
2015 - 2016,Kenya, ,KEN,,STA,"The figure of 20,000 is an estimate by UNHCR and civil society organizations based on currently available information on several communities in Kenya. This estimate is under review pending further research and mapping activities.",,,,,,,
2018,South Africa, ,ZAF,,REF,The figure related to the mid of 2018.,,,,,,,
2019,India, ,IND,,STA,"The total statelessness figure reported relates to 17,730 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for India for the first time in 2019.",,,,,,,
2025,Bulgaria, ,BGR,,REF,"No official data on the actual number of refugees residing in Bulgaria is available. The total reported includes 67,725 refugees from Ukraine with valid temporary protection registration and an estimate of 34,875 other refugees.",,,,,,,
2022, ,Viet Nam,,VNM,REF,"The Indo-Chinese population in China is no longer considered as refugees under UNHCR's mandate and has been removed from UNHCR's statistical reporting since June 2022, because they have full access to public services and enjoy the same rights as nationals.",,,,,,,
2022,Nepal, ,NPL,,STA,"Various studies estimate that a significant number of individuals originally from Nepal lack citizenship certificates. While these individuals originally from Nepal are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation. 452 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State, are reported in Nepal.",,,,,,,
2024,Sri Lanka, ,LKA,,ASY,"In December 2024, 116 Rohingya that were rescued and disembarked. At an initial interview with UNHCR soon after disembarkation they stated that they departed to Sri Lanka to seek asylum. Given the intention and considering the situation of Rohingya in Myanmar, UNHCR has included them as asylum-seekers. UNHCR has not been able to conduct a formal registration process as UNHCR does not have access to them while they remain in detention.",,,,,,,
2015 - 2017,Montenegro, ,MNE,,STA,2011 census figure adjusted to reflect number of persons that acquired naionality.,,,,,,,
2020,Albania, ,ALB,,STA,The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011- 2020.,,,,,,,
2022,Kyrgyzstan, ,KGZ,,STA,68 persons were naturalized or granted citizenship in 2022. Since December 2021 the data on number of staleless persons is provided by the Government.,,,,,,,
2019 - 2020,Turkmenistan, ,TKM,,STA,"In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The decrease in the reporting figure is due to naturalization in Turkmenistan and confirmation of nationality by a third country.",,,,,,,
2016,Thailand, ,THA,,STA,"Figure on the number of registered stateless persons has been updated by the Royal Thai Government. It includes an increase of 61,070 persons who are expected to form a large proportion of the group which will benefit from positive changes introduced to the nationality framework in December 2016. In addition it reflects decreases as a result of 8,814 stateless persons acquiring Thai nationality in 2016 and 8,377 cases that were de-registered because of death or duplicate registration.",,,,,,,
2018,Ukraine,Ukraine,UKR,UKR,IDP,"IDP figure in Ukraine includes 700,000 people who are in an IDP-like situation.",,,,,,,
2019 - 2022, , ,,,"REF,ASY,IDP,STA,OOC,HST,OIP",Small values between zero and five have been rounded to multiples of five. Data on asylum applications and decisions has additionally been rounded for small values between five and 10. Demographic data has been additionally modified so that the data remains additive.,,,,,,,
2015,Malaysia, ,MYS,,STA,"The figure is an estimated number of individuals who are stateless, including people who are unable to establish their nationality from among the Indian community (Tamils). Estimate is based on NGO and media reports, some citing official sources.",,,,,,,
2023,Sweden, ,SWE,,STA,The decrease in the stateless population in Sweden between 2022 and 2023 is due to de-duplication of figures reported in previous years.,,,,,,,
2023 - 2025,Dominican Rep., ,DOM,,STA,"UNHCR is currently working with the authorities and other actors to determine the size of the population affected by ruling 168-13 that found an effective nationality solution. Since the adoption of Law 169-14 in May 2014, steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Central Electoral Board (JCE) in 2022, out of the total Group A population of 61,206 persons, approximately 26,200 had obtained their Dominican nationality documentation. Additionally, as of December 2020, over 1,830 persons (800 of which were children) – out of the 7,159 approved individuals who had applied to the regularization plan established in Law 169-14 (Group B)- had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). Up until December 2023, two naturalization decrees had been issued granting Dominican nationality to 799 applicants, all of whom are still pending to receive nationality documentation.",,,,,,,
2023,Finland, ,FIN,,STA,The decrease in the stateless population in Finland between 2022 and 2023 is due to de-duplication of figures reported in previous years.,,,,,,,
2019,Bangladesh, ,BGD,,"REF,STA","The figure reported includes 854,704 stateless persons of Rohingya ethnicity who are also counted as refugees from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach has been used for Bangladesh since 2017.",,,,,,,
2018, ,Croatia,,HRV,REF,UNHCR has recommended on 4 April 2014 to start the process of cessation of refugee status for refugees from Croatia displaced during the 1991-95 conflict. The Office recommended that cessation enters into effect latest by the end of 2017.,,,,,,,
2025,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 159 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 170,463 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",,,,,,,
2016,Ukraine, ,UKR,,STA,"Figure is an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,363 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",,,,,,,
2019,Dominican Rep., ,DOM,,STA,"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High Level Segment on Statelessness, approximately 48% of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2019, over 1,700 Group B persons (900 of which were children) had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). However, no naturalization decisions concerning this population have been issued to date.",,,,,,,
2016,Thailand, ,THA,,STA,"The figure on the number of registered stateless persons has been updated by the Royal Thai Government. It includes an increase of 61,070 persons who are expected to form a large proportion of the group which will benefit from positive changes introduced to the nationality framework in December 2016. In addition it reflects decreases as a result of 8,814 stateless persons acquiring Thai nationality in 2016 and 8,377 cases that were de-registered because of death or duplicate registration.",,,,,,,
2017,Ukraine, ,UKR,,STA,"Figure is an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,294 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",,,,,,,
2024,Italy, ,ITA,,REF,"The number of refugees was rebased using updated data on the number of residence permit holder with refugee status and temporary protection holders by the end of 2023, available from Eurostat.",,,,,,,
2015, ,Myanmar,,MMR,REF,"The total figure at the end of 2015 includes 200,000 persons in Bangladesh originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.",,,,,,,
2022,India, ,IND,,STA,"The total statelessness figure reported relates to 21,591 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. The reported figure does not represent an estimate of the entire stateless population.",,,,,,,
2022,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"The UK’s stateless figures show the number of stateless individuals recognised through the UK's stateless determination procedure since it began in 2013. In previous years, this figure has been calculated by adding all grants of stateless leave. This resulted in unavoidable double counting for stateless individuals who were applying for further statelessness leave after the expiry of their initial grant of leave. The UK Government has now provided data for initial and subsequent grants. The subsequent grants have therefore been removed from the previous cumulative figure between 2013 - 2018. Since 2019, the cumulative figure now only includes initial grants of leave following individuals’ recognition as stateless. At the end of 2022, the total number of individuals recognised under UK’s statelessness determination procedure is 319. UNHCR further provides the number of asylum-seekers and refugees whose nationality has been recorded as ‘stateless’ as part of the asylum process. For this group there has been no formal determination that they are stateless.",,,,,,,
2025,India, ,IND,,STA,"The total statelessness figure reported relates to 23,253 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. The reported figure does not represent an estimate of the entire stateless population.",,,,,,,
2025,Turkmenistan, ,TKM,,STA,"In October 2024, the Government of Turkmenistan announced the resolution of all known cases of statelessness in the country, following the naturalization of a final group of 1,146 stateless people in September 2024. In February 2025, the Government reported that, as of 31 December 2024, there were no remaining stateless people in Turkmenistan. Since 2017, UNHCR has relied on figures reported by its partner organizations, as official statistical data was not made available by the authorities. In 2023, UNHCR partners launched a verification exercise to cross-check their database on stateless persons and those with undetermined nationality. This process continued in 2024 and confirmed the Government’s report. As part of the exercise, individuals were contacted to verify their current legal status. The findings showed that many had been naturalized in recent years, some had confirmed foreign nationality, and others had passed away. This verification exercise, combined with the official information provided by the Government, confirms that there are now zero officially registered stateless people in Turkmenistan.",,,,,,,
2022,Costa Rica, ,CRI,,ASY,"In 2022, Nicaraguans and Venezuelans (only October to December) started their applications by obtaining an appointment to formalize their asylum claim. The appointment process for Nicaraguans and Venezuelans ended in December 2022.",,,,,,,
2024,Pakistan, ,PAK,,"REF,ASY,IDP,STA,OOC,HST,OIP","In Pakistan, the verification of the number of new arrivals from Afghanistan concluded in 2024. Due to the inactivation of substantive numbers of absentees, this resulted in an overall reduction of 190,200 Afghans reported in the country and an increase of 108,300 Afghans being registered as asylum-seekers. At the same time, 143,900 formerly unregistered family members of registered refugees, that were previously reported as people in a refugee-like situation, are now included as refugees, in line with the upcoming 2025-2027 multi-year strategy for Afghans.",,,,,,,
2015 - 2016,Türkiye, ,TUR,,ASY,Data include asylum-seekers registered with UNHCR as well as asylum-seekers who have been pre-registered but who are pending official registration with UNHCR.,,,,,,,
2024,United States of America, ,USA,,"REF,ASY,IDP,STA,OOC,HST,OIP","All statistics reported by the United States of America apart from resettlement arrivals are as of mid-2024. Hence, the data of new applications and decisions only include the period between January and June 2024, and the number of pending applications is as of 30 June 2024. The full year statistics for each of these are likely to be higher.",,,,,,,
2017 - 2018,Bolivia (Plurinational State of), ,BOL,,"REF,ASY,IDP,STA,OOC,HST,OIP",All figures relate to the end of 2016.,,,,,,,
2017,Kenya, ,KEN,,STA,"The figure of 18,500 is an estimate by UNHCR and civil society organizations based on currently available information on several communities in Kenya.",,,,,,,
2022,United States of America, ,USA,,"REF,ASY,IDP,STA,OOC,HST,OIP","The United States of America has also offered temporary status in certain circumstances to people in need of international protection. For example, in 2022, a significant number of Ukrainians and their immediate family members were given temporary protection on a humanitarian basis in the United States. UNHCR is in discussions with the U.S. government about how to best reflect such datapoints for all relevant populations in future reporting cycles.",,,,,,,
